"AACT1" "AACT2" "CMK" "DPPS1" "DPPS2" "DPPS3" "DXPS1" "DXPS2(cla1)" "DXPS3" "DXR" "FPPS1" "FPPS2" "GGPPS1mt" "GGPPS2" "GGPPS3" "GGPPS4" "GGPPS5" "GGPPS6" "GGPPS8" "GGPPS9" "GGPPS10" "GGPPS11" "GGPPS12" "GPPS" "HDR" "HDS" "HMGR1" "HMGR2" "HMGS" "IPPI1" "IPPI2" "MCT" "MECPS" "MK" "MPDC1" "MPDC2" "PPDS1" "PPDS2mt" "UPPS1"
"c1" 6.59222227837458 7.70814121021168 7.13457207566264 4.64535197562092 8.73256260225639 2.12823170584927 3.1267605359604 9.51171082954775 6.46956034625105 8.45829208349608 6.48035126335522 8.25730785187392 4.4320065669789 4.19418989719182 3.70868208141012 3.64021428213266 4.28634138453947 4.23555473077362 4.51961229762644 0.832909122935104 4.60015764416455 7.63114064260269 6.88141130364254 7.30054033393293 9.49130744922758 9.09996731449481 9.62677839023528 6.2459129482506 7.50003184915711 8.44771448764618 6.64600082854027 6.99759598298193 7.96088193748912 6.85530341897971 7.32653140114997 5.8913679305697 8.43082887776324 8.11677532452959 5.92612570579964
"c2" 6.99209642741589 7.67359514493552 7.08027899329598 4.86907172977447 8.827673400144 1.75785791755237 4.35414143118435 9.51790595080628 6.3297209055227 8.38057131387327 6.09559931183999 8.03333401588006 2.98061863574394 4.32280727501391 3.42426265459315 2.19722457733622 4.01638302075239 5.12217666882916 1.82454929205105 3.5945687746427 4.06902675423781 7.39400128377374 7.3604219885746 7.3526974776325 9.65448117294618 9.0411403500722 9.71651318820147 6.23832462503951 7.20489251020467 8.35772841676521 6.28245364531726 6.83861954014727 8.07146843064399 6.71937540760422 7.0095895848634 5.7120812774709 8.49664348512603 8.53764266828365 6.02707297457535
"c3" 5.6116671857484 8.32557253167418 6.73696695800186 4.30945594183905 1.7404661748405 2.07944154167984 2.29253475714054 7.75345185800237 7.3656863269936 7.25643837299132 7.98636892114356 8.18183233698099 4.69592454925656 3.91202300542815 0.741937344729377 3.47506723022861 3.21486780347066 4.98497554731568 2.43361335540045 1.30833281965018 1.54756250871601 6.24105526843704 5.76487757401601 7.7613617694789 7.20845228851141 7.45042834618725 8.41458444173077 7.54538974961182 8.26842409246306 8.05820071629026 8.0058340920441 7.17518362240665 7.37613258648329 7.21022743690655 7.65718827055267 7.36029479447623 5.70444891919936 5.92265023110762 7.09696969203326
"c4" 6.22791911248186 7.24829067833772 7.25813042077234 3.18635263316264 8.79406706515142 4.10758978897212 3.56953269648137 9.88933791693169 6.39592915488256 8.67080658407345 6.44651315540497 7.40652856422395 2.85647020622048 3.85862222870103 1.41098697371026 1.56861591791385 3.56388296393925 2.09186406167839 1.98787434815435 3.14845336057165 3.72810016726722 8.09147435428081 7.31608295270378 7.55736845751835 9.47949690131253 9.05532264970957 9.52404831417735 5.81442899474327 7.37644554614534 8.12509830224625 6.25248175085027 7.25834172558031 8.45045491926616 5.74620319054015 6.75995108421374 5.39408198853242 8.48671336516226 7.93698176183185 5.57519124028321
"c5" 6.46909526601633 7.40196359692469 7.08069967396349 4.71760561531788 9.42842313909717 2.29253475714054 3.23867845216438 9.24141259153059 6.47574083564044 8.38247252045193 5.82923969201315 7.82164312623998 3.09557760852371 2.9704144655697 3.92197333628131 2.2082744135228 1.6094379124341 4.51085950651685 3.76815263500844 1.58923520511658 5.18290651503671 7.79950738640914 7.33609020118105 7.80196398771009 9.71356719786684 9.2551129526446 9.34054373284133 6.08472717756767 7.22715401798549 8.29344946003 5.93542315622436 7.30874371506322 8.31439133775994 6.44238091812006 6.96271683705611 5.52545293913178 8.60977237270933 8.59064809322308 5.75352456655102
"c6" 6.38536301884468 7.16006920759613 7.61139719663472 4.46705688385846 6.41852805476864 2.26176309847379 3.71843825635548 9.95366722707921 6.74887677391465 9.12452101152519 6.48996452118334 7.61367059881976 4.73180283692146 3.56671182013973 3.59731226058845 3.45631668088323 4.22683374526818 0.916290731874155 2.2082744135228 1.88706964903238 3.4626060097908 7.75948615615783 8.15113147208284 6.83162988859265 9.54765511073564 9.77452854773873 9.11688646822492 5.87239943994904 7.38311951446997 8.02545098212651 6.40009131855373 7.79288552660667 8.74973246437081 6.1452580202874 6.85044391226902 5.22896728841324 7.15007380968239 6.90535239436583 5.79484120560317
"c7" 5.86844909621144 7.74746729662392 8.08107298034844 4.34639945703073 2.19722457733622 2.31253542384721 3.02042488614436 9.87405359250147 6.89608747411445 9.31716581410508 7.5547538035161 8.37498425759803 4.26549281841793 4.78832472908594 3.64283551561253 2.84490938381941 2.76631910922619 5.10047599809605 2.47653840011748 2.23001440015921 2.15176220325946 7.86461197260295 6.36182047810258 7.07182800071929 8.99994027680934 9.12396515622944 8.88668563906558 6.38096963563742 8.13361676856571 7.97349996402463 6.80749285704374 8.14922615972816 8.46328595734733 7.52531647258549 7.26417018911501 6.20435572195784 6.94331545438069 6.41378677228257 5.44889022502741
"c8" 6.42210995374644 6.9085549591527 7.85925870261203 4.97189446577983 5.76425022142329 4.2570301444992 4.54542018158232 10.2913723621452 6.75797835366391 9.51022271750928 6.89477135142384 8.0129789972379 5.16192474164248 1.48160454092422 4.4496852831477 3.40119738166216 4.58292457704077 2.43361335540045 2.41591377830105 3.10009228887823 3.18221184049661 7.76844873075388 7.76059489827568 6.8377619071616 9.62073331832064 9.66254910707999 9.25956853544801 6.14868194830602 7.35397837956247 7.76153210546705 6.11146733950268 8.36149798608999 8.98272433398742 6.47989117593049 7.13313632523654 5.83276185591266 7.55982001444085 6.96460809057492 5.69776440233064
"c9" 6.13664655695248 6.67405621372841 7.46708531180774 3.67122451887522 7.64477579398605 2.24070968927596 3.48124008933569 10.0114850881984 6.49722737653151 8.73603952289256 5.93171454270221 6.80172787433661 3.42100000895834 2.77258872223978 1.96009478404727 2.82731362192903 1.38629436111989 4.38701417618492 2.66025953726586 3.72086249996699 3.26193531432865 7.38006873851476 7.54744893880799 7.26269872474272 9.64146023129689 9.70217887582944 9.28107838648152 5.90563429050279 6.794810519966 7.57137065693604 5.54204755147063 7.40749973273731 8.79842450237255 6.26301723762988 6.80782444035709 4.29182836675573 8.03582927779987 7.91666165456575 5.86929691313377
"c10" 6.37366102827679 6.97961071608256 7.40768172187913 3.64283551561253 6.58147096874841 4.12874598893943 4.59107126160859 9.45316889660679 6.31445343339191 8.60219588568616 5.49593796063116 7.16371445923797 4.73268350628705 2.82731362192903 2.24070968927596 2.30258509299405 1.62924053973028 2.39789527279837 1.6094379124341 1.7227665977411 2.65324196460721 7.69083456704269 8.53473837063199 6.90625415285587 8.72095002893026 9.51750884525924 8.63037900937533 5.77796187283045 6.76561551182101 7.78792130013766 6.25190388316589 6.63107908570689 8.50163275329818 5.9501215835736 6.49057177791977 4.07073469658297 6.72647318176285 6.84970234753352 6.04334516898497
"c11" 6.68947488333392 6.9775611532261 7.3829329995016 4.77322377098434 6.91124916823639 2.3887627892351 5.0587903359833 10.0137714285409 6.52737295124144 9.02930998126843 5.87913536213406 7.38857520066172 5.23057371446152 4.32413265625498 3.34286180464919 4.36691299686383 4.26127043353808 2.17475172148416 2.34180580614733 2.42480272571829 2.63905732961526 7.49548638678543 8.23390146726575 6.91651678465071 9.58762546021871 9.89252771229979 9.2903430788497 5.87436877523173 7.15500590563958 7.95388057863653 6.07764224334903 7.65002590150163 8.85360828354759 5.74620319054015 7.05479502163145 4.98086313576259 7.45564544688494 7.11793516390449 5.9475126595788
"c12" 6.05138303731923 6.63830597479142 7.65420623156439 4.89634614769413 6.07050675444794 2.70805020110221 4.66060489287619 10.198717319345 6.5101095199261 9.30617768554836 6.44556107662788 7.73280753042202 3.32862668882732 3.89385903480047 1.80828877117927 4.79496375762075 2.61739583283408 2.14006616349627 2.62466859216316 1.58923520511658 3.17805383034795 7.76510247522234 7.64530204683877 6.93429983420425 9.65380108412346 9.60967338382034 9.40696744847402 5.80332610499246 7.40634636507979 7.84936281884008 6.00782990119425 8.12896860769048 9.02260016075537 6.40258032672496 7.40549566319947 6.16057420992971 7.492425983206 7.0065140510054 5.58687405641048
"c13" 6.15613116866322 5.62184909189352 6.92441571987524 4.21656219494635 7.9400496866126 3.85862222870103 5.19517660762852 9.16770423289032 6.26015491337816 7.66303183100763 5.32300997913841 6.47558678803942 3.36729582998647 2.61006979274201 4.21508617991823 2.00148000021012 2.79728133483015 4.62986279857846 3.03013370027132 0.693147180559945 3.57515068878559 7.10914389849332 6.47481619387322 7.56070526979067 9.11297007157991 8.93281982919564 8.78988852155969 5.56605180119012 6.42275983191716 7.30182234213793 5.35375207343614 6.60934924316738 8.16840137949748 5.67297956550116 6.06168999199748 4.24849524204936 7.71957398925958 7.93368934215226 6.25536609089436
"c14" 5.14749447681345 7.62055801720052 7.95528477742093 3.90600493310258 2.78501124223834 2.40694510831829 3.41772668361337 9.94715509464298 6.8052794873929 9.16328021048878 7.13847009579267 8.48611523584538 4.68490515400694 2.09186406167839 0.693147180559945 2.19722457733622 2.14006616349627 3.94739014926544 1.1314021114911 1.82454929205105 2.83907846350861 8.26886002902837 6.6900966578985 7.00560767914964 9.06404211435888 9.18586323616902 8.91313307829933 6.38687931936265 8.06290541861051 7.83316431250082 6.86589107488344 8.0039312689499 8.64080807761554 7.22526310833116 7.205412434456 6.17107409639846 6.91463158292157 6.48783621390382 5.62762111369064
"c15" 6.45582729646363 7.84772347421065 7.20385185003494 5.48645530866343 7.00859559390821 4.02356438016105 4.33990170837321 9.65394868986239 6.37212453629718 8.76938279217752 6.88325764738174 8.21489820179659 2.89591193827178 2.07944154167984 3.14845336057165 4.86676492367655 4.09767235231478 5.093136515608 2.45958884180371 2.40694510831829 3.4307561839037 7.55370602471111 7.19112807984582 7.1620098253214 9.52284187824448 8.93089098445088 9.41440711252566 6.21520791849416 8.15845898579568 8.60831278478372 6.71840910725122 7.30491936205091 8.22427074549411 7.07842589303523 7.493985177196 6.34229745956308 7.72546247947749 6.51025834052315 6.11963786083096
"c16" 6.56906057450782 7.90890173275676 7.06030467744242 5.6944053128436 6.64444056297865 4.33467293829041 3.48431228837266 9.52051996664247 6.25536609089436 8.61408393964575 6.83539961679 8.18996608655871 4.87519732320115 2.41591377830105 3.32143241319329 2.53369681395743 2.4932054526027 5.17501915020354 4.04129534113228 2.26176309847379 4.20319896713418 7.48375047473122 7.16231997497109 7.16634319122954 9.26200259829998 8.9501696998249 9.54037047396426 6.5431921621944 8.25189863784209 8.4110101153261 6.59057573574133 7.23012859122385 8.14494039751417 6.99466665097143 7.70620797368735 6.34229745956308 7.62241930300433 6.59235936796284 6.10880303952522
"c17" 6.64196515294645 7.92160819844104 6.89416332546267 5.92825847120419 7.2764180805662 2.61739583283408 4.63278535302106 9.8117066375437 6.47033499963242 8.72303594325154 6.94196345031187 8.25637373312103 2.90690105984738 1.70474809223843 4.0842942263686 2.61739583283408 4.42962561347316 5.01063529409626 4.01096295328305 1.7227665977411 4.87748478130875 7.44943983033411 7.03341829697779 7.15187723668154 9.26632365117136 8.81107103040503 9.58411527468268 6.39626276622844 8.24522697540446 8.57044955771667 6.72695256815745 7.32330272243181 8.18180436769127 7.14748058988802 7.58822240638471 6.02900115063671 7.42517908677635 6.14739934872874 6.35610766069589
"c18" 6.54993682434133 7.96613567676237 7.03174125876313 5.44630624426149 7.05961762829138 4.70048036579242 4.31882055877009 9.80028027255713 6.58202513889283 8.70944857727704 6.77422388635761 8.27471390379529 3.41772668361337 2.41591377830105 2.30258509299405 3.7635229971097 2.40694510831829 5.15386946218216 3.90399083373088 2.50959926237837 3.45315712059287 7.54966179534849 7.16479771530181 6.85982474522459 9.17084041983933 8.89992177255053 9.93507342509531 6.26263606743277 8.00879794522196 8.36820582537919 6.30591025682898 7.26570940441925 8.10161713955734 7.03447603176129 7.52148039256459 5.98494333011772 7.49030603820006 6.00955001465437 6.2079862221133
"c19" 6.61150325584729 7.87138750716534 7.10019216951719 5.65494230923673 5.86391522616101 2.9338568698359 3.65065824129374 9.59505840693956 6.42907410854271 8.56836147799064 6.68336094576627 8.1554195569325 2.45958884180371 4.47392189937814 2.84490938381941 2.89591193827178 4.49758497530815 5.17161971350208 4.50755735712109 3.10458667846607 2.82731362192903 7.24565506759454 7.34536484041687 6.93147180559945 9.37923046245638 8.84373052563669 9.72089795982376 6.19358873119812 8.04224937953801 8.4200874004667 6.83087423464618 6.9878595232238 8.3150770072941 7.02063743603881 7.50466685166126 6.20738205333045 7.1785454837637 6.0282785202307 6.09514865838486
"c20" 6.82404752990865 7.89896793737355 7.02616034336076 5.49182611273256 5.80964286535568 4.2570301444992 4.3528552573736 9.55295087369952 6.4548840484767 8.57198436109893 6.76619171466035 8.43693712765057 4.79744207363521 4.30271282795416 1.84054963339749 4.26549281841793 3.16124671203156 4.47847253294213 4.88052660874924 1.70474809223843 2.17475172148416 7.4047659137144 7.19473710631952 6.9148301926541 9.33330109137499 8.92812333895546 9.54466029402925 6.23812929346354 8.11168808250805 8.45461541343151 6.80106054031117 7.25608550238531 8.17973246640131 7.15641061946507 7.62559507213245 6.23087507088606 7.23662727825878 6.01834987588936 6.03787091992214
